mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_bin,param_max_depth,param_min_child_samples,param_min_split_gain,param_num_leaves,param_reg_alpha,param_reg_lambda,param_subsample,param_subsample_freq,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
146.63453904787698,16.31683511909504,5.299921989440918,1.9400288942584007,0.749816047538945,0.19063571821788408,255,12,1094,0.7800932022121826,278,0.5808361216819946,8.661761457749352,0.8404460046972835,3,"{'colsample_bytree': 0.749816047538945, 'learning_rate': 0.19063571821788408, 'max_bin': 255, 'max_depth': 12, 'min_child_samples': 1094, 'min_split_gain': 0.7800932022121826, 'num_leaves': 278, 'reg_alpha': 0.5808361216819946, 'reg_lambda': 8.661761457749352, 'subsample': 0.8404460046972835, 'subsample_freq': 3}",0.8022669707611919,0.746843124427241,0.8525134182648182,0.8005411711510838,0.04315697346625583,17
78.9540897210439,13.498909126742289,2.3805809815724692,0.24113665113122124,0.608233797718321,0.19428287191077892,511,6,1265,4.961057796456087,224,3.0424224295953772,5.247564316322379,0.7727780074568463,1,"{'colsample_bytree': 0.608233797718321, 'learning_rate': 0.19428287191077892, 'max_bin': 511, 'max_depth': 6, 'min_child_samples': 1265, 'min_split_gain': 4.961057796456087, 'num_leaves': 224, 'reg_alpha': 3.0424224295953772, 'reg_lambda': 5.247564316322379, 'subsample': 0.7727780074568463, 'subsample_freq': 1}",0.8300760647888887,0.7715242731661717,0.7794615161000099,0.7936872846850234,0.02593398599564271,18
110.78041704495747,7.077104383892305,4.313836256663005,1.4765497378525232,0.8099098641033556,0.08597358462589853,511,10,749,1.8318092164684585,253,0.906064345328208,6.183860093330873,0.7529847965068651,1,"{'colsample_bytree': 0.8099098641033556, 'learning_rate': 0.08597358462589853, 'max_bin': 511, 'max_depth': 10, 'min_child_samples': 749, 'min_split_gain': 1.8318092164684585, 'num_leaves': 253, 'reg_alpha': 0.906064345328208, 'reg_lambda': 6.183860093330873, 'subsample': 0.7529847965068651, 'subsample_freq': 1}",0.9319912311885307,0.9281147428893606,0.9226227761897181,0.9275762500892032,0.0038435632892807573,2
182.61315123240152,4.101404988445677,3.951292037963867,0.11000942602380308,0.6185801650879991,0.1254335218612733,255,-1,216,0.06632480579933264,152,9.656320330745594,8.08397348116461,0.7218455076693483,1,"{'colsample_bytree': 0.6185801650879991, 'learning_rate': 0.1254335218612733, 'max_bin': 255, 'max_depth': -1, 'min_child_samples': 216, 'min_split_gain': 0.06632480579933264, 'num_leaves': 152, 'reg_alpha': 9.656320330745594, 'reg_lambda': 8.08397348116461, 'subsample': 0.7218455076693483, 'subsample_freq': 1}",0.929041777531597,0.9260142582089456,0.921286886402282,0.9254476407142748,0.003191172788159288,7
88.38649972279866,4.2973894947864,2.1037326653798423,0.014237725675888031,0.6923575302488596,0.05579483854494223,511,10,558,4.165974558680822,98,9.093204020787821,2.587799816000169,0.8650089137415928,2,"{'colsample_bytree': 0.6923575302488596, 'learning_rate': 0.05579483854494223, 'max_bin': 511, 'max_depth': 10, 'min_child_samples': 558, 'min_split_gain': 4.165974558680822, 'num_leaves': 98, 'reg_alpha': 9.093204020787821, 'reg_lambda': 2.587799816000169, 'subsample': 0.8650089137415928, 'subsample_freq': 2}",0.9311861539664905,0.9273063698584855,0.9201091748878472,0.9262005662376076,0.004589260478779809,4
99.98241504033406,3.6721680253758806,2.5405636628468833,0.09239068706478648,0.7700623497964979,0.04950891594495588,511,12,752,4.211423872974993,107,9.394989415641891,8.948273504276488,0.8391599915244341,3,"{'colsample_bytree': 0.7700623497964979, 'learning_rate': 0.04950891594495588, 'max_bin': 511, 'max_depth': 12, 'min_child_samples': 752, 'min_split_gain': 4.211423872974993, 'num_leaves': 107, 'reg_alpha': 9.394989415641891, 'reg_lambda': 8.948273504276488, 'subsample': 0.8391599915244341, 'subsample_freq': 3}",0.9311032376800636,0.9280517709815558,0.9183970527725414,0.9258506871447203,0.005415740101384773,5
129.52706106503805,10.233509822268449,3.181574900945028,0.1112717458826174,0.6353970008207678,0.04723674385963759,255,12,769,3.736600550686904,430,8.287375091519294,3.567533266935893,0.7123738038749523,1,"{'colsample_bytree': 0.6353970008207678, 'learning_rate': 0.04723674385963759, 'max_bin': 255, 'max_depth': 12, 'min_child_samples': 769, 'min_split_gain': 3.736600550686904, 'num_leaves': 430, 'reg_alpha': 8.287375091519294, 'reg_lambda': 3.567533266935893, 'subsample': 0.7123738038749523, 'subsample_freq': 1}",0.9294142649072955,0.925004716710758,0.9174571408864521,0.9239587075015018,0.004937192532998475,8
144.21607160568237,88.00124530625106,3.341094732284546,1.813380749056968,0.6563696899899051,0.16241742634326756,255,-1,1912,2.117007403531848,192,1.987156815341724,0.05522117123602399,0.9261845713819337,1,"{'colsample_bytree': 0.6563696899899051, 'learning_rate': 0.16241742634326756, 'max_bin': 255, 'max_depth': -1, 'min_child_samples': 1912, 'min_split_gain': 2.117007403531848, 'num_leaves': 192, 'reg_alpha': 1.987156815341724, 'reg_lambda': 0.05522117123602399, 'subsample': 0.9261845713819337, 'subsample_freq': 1}",0.8920515806968116,0.7260160198509829,0.8519289138813531,0.8233321714763825,0.07073557390488139,15
93.37789138158162,5.297823519659994,2.6554580529530845,0.060166972946857605,0.88453678109946,0.16013335270092907,255,12,1563,1.7923286427213632,104,9.149596755437807,8.500385777897993,0.7797802696552814,1,"{'colsample_bytree': 0.88453678109946, 'learning_rate': 0.16013335270092907, 'max_bin': 255, 'max_depth': 12, 'min_child_samples': 1563, 'min_split_gain': 1.7923286427213632, 'num_leaves': 104, 'reg_alpha': 9.149596755437807, 'reg_lambda': 8.500385777897993, 'subsample': 0.7797802696552814, 'subsample_freq': 1}",0.808167905206682,0.8133971158002379,0.828902734392248,0.816822585133056,0.008804683051316424,16
140.31208157539368,3.533826322213586,2.610485792160034,0.11153364845714889,0.6254233401144095,0.06908664112597582,511,12,148,2.9564889385386355,277,8.872127425763265,4.722149251619493,0.6478376983753207,2,"{'colsample_bytree': 0.6254233401144095, 'learning_rate': 0.06908664112597582, 'max_bin': 511, 'max_depth': 12, 'min_child_samples': 148, 'min_split_gain': 2.9564889385386355, 'num_leaves': 277, 'reg_alpha': 8.872127425763265, 'reg_lambda': 4.722149251619493, 'subsample': 0.6478376983753207, 'subsample_freq': 2}",0.9312866715155474,0.9261796970880767,0.9193713250670702,0.9256125645568981,0.004880922025447692,6
